Index,Ticker,Name
0,BTC-USD,Bitcoin USD
1,ETH-USD,Ethereum USD
2,HEX-USD,HEX USD
3,ADA-USD,Cardano USD
4,BNB-USD,BinanceCoin USD
5,USDT-USD,Tether USD
6,SOL1-USD,Solana USD
7,XRP-USD,XRP USD
8,USDC-USD,USDCoin USD
9,DOT1-USD,Polkadot USD
10,DOGE-USD,Dogecoin USD
11,LUNA1-USD,Terra USD
12,UNI3-USD,Uniswap USD
13,AVAX-USD,Avalanche USD
14,LINK-USD,Chainlink USD
15,ALGO-USD,Algorand USD
16,LTC-USD,Litecoin USD
17,BCH-USD,BitcoinCash USD
18,MATIC-USD,MaticNetwork USD
19,ATOM1-USD,Cosmos USD
20,ICP1-USD,InternetComputer USD
21,FIL-USD,FilecoinFutures USD
22,XLM-USD,Stellar USD
23,XTZ-USD,Tezos USD
24,VET-USD,VeChain USD
25,ETC-USD,EthereumClassic USD
26,TRX-USD,TRON USD
27,THETA-USD,THETA USD
28,HBAR-USD,HederaHashgraph USD
29,EGLD-USD,Elrond USD
30,XMR-USD,Monero USD
31,CRO-USD,CryptocomCoin USD
32,EOS-USD,EOS USD
33,AAVE-USD,Aave USD
34,QNT-USD,Quant USD
35,MIOTA-USD,IOTA USD
36,GRT2-USD,TheGraph USD
37,SHIB-USD,SHIBA INU USD
38,NEO-USD,NEO USD
39,KSM-USD,Kusama USD
40,WAVES-USD,Waves USD
41,BSV-USD,BitcoinSV USD
42,MKR-USD,Maker USD
43,BTT1-USD,BitTorrent USD
44,OMG-USD,OmiseGO USD
45,HNT1-USD,Helium USD
46,AMP1-USD,Amp USD
47,CELO-USD,Celo USD
48,RUNE-USD,THORChain USD
49,ONE2-USD,Harmony USD
50,AR-USD,Arweave USD
51,CCXX-USD,CounosX USD
52,DASH-USD,Dash USD
53,COMP-USD,Compound USD
54,CHZ-USD,Chiliz USD
55,STX1-USD,Stacks USD
56,HOT1-USD,Holo USD
57,XDC-USD,XinFinNetwork USD
58,CTC1-USD,Creditcoin USD
59,DCR-USD,Decred USD
60,TFUEL-USD,ThetaFuel USD
61,ZEC-USD,Zcash USD
62,XEM-USD,NEM USD
63,ICX-USD,ICON USD
64,MANA-USD,Decentraland USD
65,SUSHI-USD,Sushi USD
66,CEL-USD,Celsius USD
67,TUSD-USD,TrueUSD USD
68,QTUM-USD,Qtum USD
69,ENJ-USD,EnjinCoin USD
70,SNX-USD,SynthetixNetworkToken USD
71,CRV-USD,CurveDAOToken USD
72,SRM-USD,Serum USD
73,ZIL-USD,Zilliqa USD
74,YFI-USD,yearnfinance USD
75,RVN-USD,Ravencoin USD
76,BAT-USD,BasicAttentionToken USD
77,BTG-USD,BitcoinGold USD
78,IOST-USD,IOST USD
79,ZEN-USD,Horizen USD
80,BNT-USD,Bancor USD
81,ZRX-USD,0x USD
82,SC-USD,Siacoin USD
83,ONT-USD,Ontology USD
84,NANO-USD,Nano USD
85,SAND-USD,TheSandbox USD
86,DFI-USD,DeFiChain USD
87,XWC-USD,WhiteCoin USD
88,DGB-USD,DigiByte USD
89,VGX-USD,VoyagerToken USD
90,ANKR-USD,Ankr USD
91,UMA-USD,UMA USD
92,IOTX-USD,IoTeX USD
93,KAVA-USD,Kava USD
94,FET-USD,Fetch USD
95,LRC-USD,Loopring USD
96,GLM-USD,Golem USD
97,WAXP-USD,WAX USD
98,COTI-USD,COTI USD
99,RSR-USD,ReserveRights USD
100,ARRR-USD,PirateChain USD
101,LSK-USD,Lisk USD
102,GNO-USD,Gnosis USD
103,ERG-USD,Ergo USD
104,STORJ-USD,Storj USD
105,VTHO-USD,VeThorToken USD
106,ETN-USD,Electroneum USD
107,TWT-USD,TrustWalletToken USD
108,CKB-USD,NervosNetwork USD
109,MED-USD,MediBlocQRC20 USD
110,XVG-USD,Verge USD
111,BCD-USD,BitcoinDiamond USD
112,CVC-USD,Civic USD
113,ARDR-USD,Ardor USD
114,RLC-USD,iExecRLC USD
115,VLX-USD,Velas USD
116,EWT-USD,EnergyWebToken USD
117,BAND-USD,BandProtocol USD
118,SNT-USD,Status USD
119,KDA-USD,Kadena USD
120,STRAX-USD,Stratis USD
121,HIVE-USD,Hive USD
122,XCH-USD,ChiaNetwork USD
123,DAG-USD,Constellation USD
124,REP-USD,Augur USD
125,MAID-USD,MaidSafeCoin USD
126,MLN-USD,Melon USD
127,DERO-USD,Dero USD
128,NKN-USD,NKN USD
129,OXT-USD,Orchid USD
130,MIR1-USD,MirrorProtocol USD
131,ACH-USD,AlchemyPay USD
132,MTL-USD,Metal USD
133,STEEM-USD,Steem USD
134,FUN-USD,FunFair USD
135,ARK-USD,Ark USD
136,TOMO-USD,TomoChain USD
137,NU-USD,NuCypher USD
138,PHA-USD,PhalaNetwork USD
139,ANT-USD,Aragon USD
140,SAPP-USD,Sapphire USD
141,SYS-USD,Syscoin USD
142,WAN-USD,Wanchain USD
143,VRA-USD,Verasity USD
144,AVA-USD,Travalacom USD
145,BAL-USD,Balancer USD
146,PAC-USD,PACGlobal USD
147,KIN-USD,Kin USD
148,BTS-USD,BitShares USD
149,KMD-USD,Komodo USD
150,IRIS-USD,IRISnet USD
151,META-USD,Metadium USD
152,XNC-USD,XeniosCoin USD
153,MCO-USD,MCO USD
154,RBTC-USD,RSKSmartBitcoin USD
155,NYE-USD,NewYorkExchange USD
156,ABBC-USD,ABBCCoin USD
157,MONA-USD,MonaCoin USD
158,DNT-USD,district0x USD
159,DIVI-USD,Divi USD
160,DMCH-USD,DARMACash USD
161,GAS-USD,Gas USD
162,XHV-USD,HavenProtocol USD
163,HNS-USD,Handshake USD
164,NRG-USD,Energi USD
165,FIRO-USD,Firo USD
166,ADX-USD,AdEx USD
167,ELA-USD,Elastos USD
168,TT-USD,ThunderToken USD
169,BTM-USD,Bytom USD
170,AION-USD,Aion USD
171,RDD-USD,ReddCoin USD
172,ZEL-USD,ZelCash USD
173,REV-USD,RChain USD
174,WTC-USD,Waltonchain USD
175,CRU-USD,Crust USD
176,WOZX-USD,EFFORCE USD
177,GRS-USD,Groestlcoin USD
178,SBD-USD,SteemDollars USD
179,FIO-USD,FIOProtocol USD
180,ZNN-USD,Zenon USD
181,XCP-USD,Counterparty USD
182,BCN-USD,Bytecoin USD
183,BEAM-USD,Beam USD
184,SERO-USD,SuperZero USD
185,BEPRO-USD,BetProtocol USD
186,DGD-USD,DigixDAO USD
